feature,cramers_v
action_group,0.4578091549812131
serve_receive_phase,0.4266815177698119
prev_handId,0.42526364843911385
position_changed,0.3837177113026391
prev_strikeId,0.35615428707860747
stage_bucket,0.3189188573049434
prev_spinId,0.3096143729173358
prev_positionId,0.29910259365091707
prev_strengthId,0.296931812390723
prev_actionId,0.269008779225086
hand_changed,0.2346346466879321
strike_parity,0.2271273923159233
spin_changed,0.2257371018127258
prev_pointId,0.21301913059078553
prefix_unique_action_count,0.20845453894506139
action_changed,0.18159993190283716
prefix_attack_count,0.1790265197853437
point_changed,0.15201788149597747
same_action_run_bucket,0.1291788149135519
prefix_serve_count,0.12077958048251032
