left,right,left_group,right_group,cramers_v
sex,match,context,identifier,1.0
strikeNumber,strikeId,temporal,stroke_state,1.0
sex,gamePlayerId,context,identifier,0.9968140274234242
sex,gamePlayerOtherId,context,identifier,0.9967404236291564
strikeId,actionId,stroke_state,stroke_state,0.8079052630826639
match,gamePlayerOtherId,identifier,identifier,0.7118132974252832
match,gamePlayerId,identifier,identifier,0.7071227230191954
spinId,actionId,stroke_state,stroke_state,0.6266287480964481
gamePlayerId,gamePlayerOtherId,identifier,identifier,0.6239146502891798
strikeId,positionId,stroke_state,stroke_state,0.6129347422563994
rally_id,scoreSelf,identifier,context,0.5879043749303998
rally_id,scoreOther,identifier,context,0.5865789057843686
handId,actionId,stroke_state,stroke_state,0.5749296578127878
strikeId,spinId,stroke_state,stroke_state,0.5330646698614749
strikeNumber,positionId,temporal,stroke_state,0.500459121384167
actionId,positionId,stroke_state,stroke_state,0.46898916799958124
strikeNumber,spinId,temporal,stroke_state,0.3866347973933658
match,positionId,identifier,stroke_state,0.38548849533629836
gamePlayerId,positionId,identifier,stroke_state,0.37994646597641213
strikeNumber,handId,temporal,stroke_state,0.37332196923912997
strikeId,handId,stroke_state,stroke_state,0.36998294731513054
strikeId,pointId,stroke_state,stroke_state,0.3620655720418035
scoreSelf,scoreOther,context,context,0.3462494447761538
gamePlayerOtherId,positionId,identifier,stroke_state,0.32203811510949404
match,numberGame,identifier,context,0.31116877029268236
strengthId,actionId,stroke_state,stroke_state,0.30074718817712115
match,strengthId,identifier,stroke_state,0.28483762080413677
gamePlayerId,actionId,identifier,stroke_state,0.28381474678443697
strikeNumber,actionId,temporal,stroke_state,0.2807054579607419
spinId,pointId,stroke_state,stroke_state,0.27937094796052275
spinId,positionId,stroke_state,stroke_state,0.27324887002979337
match,spinId,identifier,stroke_state,0.2712868566294222
match,actionId,identifier,stroke_state,0.26822084126339024
gamePlayerId,spinId,identifier,stroke_state,0.26674176317324994
sex,actionId,context,stroke_state,0.24882804427004604
pointId,actionId,stroke_state,stroke_state,0.24759800980475363
gamePlayerId,handId,identifier,stroke_state,0.24358067447806653
gamePlayerId,strengthId,identifier,stroke_state,0.24063801173570293
strengthId,pointId,stroke_state,stroke_state,0.23651652470015477
gamePlayerOtherId,strengthId,identifier,stroke_state,0.23565469682436402
